Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
RIVER GIRI D/S PROPOSED SITE OF SRI RENUKAJI DAM SITE NEAR BRIDGE AT DADAHU- RENUKAJI,HIMACHAL PRADESH,15.0,25.0,7.6,8.2,7.0,8.4,303.0,449.0,1.2,2.5,0.61,0.86,27.0,94.0,170.0,350.0,2,2,0
RIVER GIRI D/S PROPOSED SITE OF RENUKA DAM,HIMACHAL PRADESH,17.0,24.0,7.1,8.0,7.8,8.4,302.0,4563.0,1.1,2.6,0.6,0.9,32.0,140.0,170.0,350.0,2,2,0
"RIVER GIRI AT NIHARI, KOTKHAL",HIMACHAL PRADESH,6.1,10.3,7.3,9.0,7.2,8.0,71.0,264.0,1.0,1.0,0.83,2.08,2.0,220.0,9.0,1600.0,2,2,0
RIVER GIRI B/C WITH ASHWANI KHAD U/S OF WSS YASHWANT NAGAR,HIMACHAL PRADESH,6.0,8.0,6.7,9.5,7.6,8.3,210.0,476.0,1.0,1.2,1.65,5.16,2.0,25.0,24.0,540.0,2,2,0
RIVER PABBAR AT U/S DHAMBARI,HIMACHAL PRADESH,5.8,8.0,8.0,9.2,7.2,8.0,42.0,145.0,1.0,1.0,0.33,3.86,2.0,17.0,9.0,280.0,2,2,0
RIVER PABBAR AT U/S ROHRU,HIMACHAL PRADESH,5.9,10.0,7.9,9.1,7.2,8.3,49.0,110.0,1.0,1.0,0.34,1.26,2.0,27.0,5.0,350.0,2,2,0
RIVER PABBAR D/S SWARAKUDDU,HIMACHAL PRADESH,6.3,10.0,7.7,8.9,7.0,8.4,37.0,132.0,1.0,1.0,0.32,1.36,7.0,47.0,26.0,350.0,2,2,0
RIVER PABBAR U/S HATKOTI,HIMACHAL PRADESH,6.0,10.0,7.2,8.7,7.2,8.2,34.0,109.0,1.0,1.0,0.32,1.31,2.0,220.0,11.0,920.0,2,4,0
RIVER PABBAR AT  HATKOTI RESERVOIR,HIMACHAL PRADESH,8.0,9.0,6.2,7.2,7.1,7.8,35.0,105.0,1.0,1.0,0.41,1.42,2.0,21.0,2.0,170.0,2,2,0
RIVER ANDHRA B/C TO RIVER PABBAR AT CHIRGAON,HIMACHAL PRADESH,6.0,10.4,7.6,8.7,7.0,8.4,42.0,136.0,1.0,1.0,0.32,0.66,2.0,20.0,2.0,280.0,2,2,0
ASHWANI KHAD U/S OF YASHWANT NAGAR BEFORE CONF. WITH RIVER GIRI AT YASHWANT NAGAR,HIMACHAL PRADESH,6.0,9.0,6.7,8.5,7.7,8.5,260.0,518.0,1.0,1.4,2.02,13.06,2.0,21.0,21.0,540.0,2,2,0
RIVER BATTA  U/S PAONTA AT KISHANPURA,HIMACHAL PRADESH,14.0,24.0,6.3,8.6,7.1,8.2,261.0,633.0,1.1,2.6,0.58,0.86,2.0,70.0,70.0,350.0,2,2,0
RIVER BATTA BEFORE CONFLUENCE TO YAMUNA,HIMACHAL PRADESH,15.0,23.0,6.4,8.3,7.4,8.3,237.0,620.0,1.2,2.6,0.59,0.84,32.0,130.0,140.0,430.0,2,2,0
ASHWANI KHAD U/S OF WEIR SITE OF WTP NEAR ASHWANI BRIDGE,HIMACHAL PRADESH,9.0,19.5,7.0,8.7,5.5,8.3,81.0,422.0,1.0,3.1,0.33,11.06,8.0,110.0,70.0,1600.0,2,24,0
ASHWANI KHAD AFTER CONFLUENCE OF LIFT NALLAH NEAR DOGRHA BRIDGE,HIMACHAL PRADESH,9.0,22.7,6.9,8.2,6.8,8.2,102.0,473.0,1.0,6.8,0.32,7.32,7.0,540.0,17.0,1600.0,4,40,0
"ASHWANI KHAD D/S OF VILLAGE SADHUPIL, TEHSIL
KANDAGHAT, DISTRICT SOLAN.","HIMACHAL
PRADESH",7.0,18.0,6.7,11.0,7.2,8.2,166.0,530.0,1.0,1.0,1.87,5.8,2.0,9.0,21.0,220.0,2,2,0
ASHWANI KHAD U/S OF  SADHUPUL VILLAGE  (NEARBY 800 METERS U/S OF THE BRIDGE),HIMACHAL PRADESH,7.0,20.0,6.2,10.0,7.1,8.1,145.0,769.0,1.0,1.0,2.38,6.61,2.0,11.0,26.0,220.0,2,2,0
"SHIKARI KHAD BEFORE CONFLUENCE TO RIVER
PABBAR NEAR HRTC ROHRU BUS STAND","HIMACHAL
PRADESH",7.8,30.0,6.8,8.0,7.6,8.3,51.0,343.0,1.0,1.8,0.32,1.9,2.0,33.0,34.0,920.0,2,2,0
RIVER BANGANGA AT U/S IDRISHPUR (U.K.),UTTARAKHAND,21.6,31.2,0.4,6.8,7.2,7.5,366.0,614.0,1.6,3.1,0.32,1.05,2.0,790000.0,2000.0,2400000.0,,,0
RIVER BANGANGA AT D/S SHUKRATAL (BEFORE CONFLUENCE OF LAKSAR DRAIN ),UTTAR PRADESH,21.6,31.2,5.0,7.8,7.3,7.6,359.0,518.0,1.0,2.6,0.32,1.65,2.0,330000.0,2.0,790000.0,2,2,0
RIVER HINDON AT MAHESHPUR D/S,UTTAR PRADESH,18.0,32.0,1.4,1.4,7.2,7.4,380.0,750.0,32.0,44.0,0.0,0.0,,,,,,,0
RIVER HINDON AT MOHAN NAGAR U/S,UTTAR PRADESH,18.0,27.0,1.2,4.5,6.5,7.5,330.0,530.0,15.0,20.0,0.4,0.46,130000.0,260000.0,170000.0,790000.0,,,0
RIVER HINDON AT MOHAN NAGAR D/S,UTTAR PRADESH,18.0,28.0,2.1,6.5,6.8,7.6,330.0,746.0,10.0,20.0,0.35,0.48,110000.0,340000.0,140000.0,470000.0,,,0
RIVER HINDON AT GHAZIABAD U/S,UTTAR PRADESH,18.0,28.0,1.1,5.5,6.2,7.6,316.0,589.0,12.0,24.0,0.41,0.55,170000.0,350000.0,210000.0,920000.0,,,0
RIVER HINDON AT BARNAWA U/S,UTTAR PRADESH,16.0,22.0,0.3,0.3,7.5,7.8,710.0,900.0,42.0,62.0,24.0,34.0,100000.0,140000.0,140000.0,210000.0,,,0
RIVER HINDON AT BARNAWA D/S,UTTAR PRADESH,16.0,21.0,0.3,0.3,7.4,7.7,630.0,820.0,38.0,56.0,22.0,30.0,82000.0,120000.0,120000.0,170000.0,,,0
"RIVER HINDON AFTER CONFL. WITH R. KRISHNA & KALI
NEAR BINAULI TOWN, PURA MAHADEV, MEERUT, U.P.","UTTAR
PRADESH",17.0,22.0,0.3,0.3,7.5,7.8,750.0,1000.0,44.0,68.0,30.0,38.0,100000.0,170000.0,150000.0,220000.0,,,0
"RIVER HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT",UTTAR PRADESH,15.0,22.0,0.3,0.3,7.6,7.8,750.0,990.0,48.0,68.0,32.0,40.0,14000.0,170000.0,17000.0,240000.0,,,0
"RIVER HINDON AT SAHARANPUR D/S, AT MAHESHPUR
.DEOBAND  U.P.","UTTAR
PRADESH",18.0,32.0,,,6.7,7.5,410.0,750.0,32.0,48.0,0.0,0.0,,,,,,,0
"RIVER HINDON AT GHAZIABAD D/S KULESHRA GB NAGAR, U.P.",UTTAR PRADESH,20.0,25.0,0.3,8.8,6.4,8.4,304.0,1375.0,3.2,48.0,0.75,0.96,2100.0,340000.0,3800.0,470000.0,1100,1100,0
RIVER HINDON AT NOIDA U/S,UTTAR PRADESH,,,1.4,4.1,6.9,8.2,755.0,861.0,15.0,22.0,0.0,0.62,230000.0,3400000.0,310000.0,4000000.0,,,0
RIVER HINDON AT NOIDA D/S,UTTAR PRADESH,26.0,26.0,1.1,4.8,7.0,7.9,450.0,1082.0,12.0,27.0,0.0,0.42,170000.0,2700000.0,270000.0,3800000.0,,,0
RIVER KALINADI AT U/S OF MUZAFFAR NAGAR U.P.,UTTAR PRADESH,19.0,25.5,2.9,3.4,7.2,7.7,300.0,340.0,12.0,16.0,0.0,0.0,,,,,,,0
"RIVER KALINADI AT D/S OF MUZAFFAR NAGAR, U.P.",UTTAR PRADESH,19.0,25.8,0.3,0.3,7.0,7.3,480.0,670.0,32.0,40.0,0.0,0.0,,,,,,,0
RIVER KEN NEAR ROAD BRIDGE AT PANNA,MADHYA PRADESH,21.0,31.0,6.4,9.2,7.2,8.0,229.0,354.0,1.0,2.2,0.33,1.62,2.0,2.0,31.0,41.0,2,2,0
"RIVER BETWA BEFORE CONF. YAMUNA AT HAMIRPUR, U.P.",UTTAR PRADESH,17.0,24.0,5.4,7.6,7.2,7.9,344.0,3400.0,2.2,3.1,0.0,0.0,7800.0,9300.0,13000.0,17000.0,,,0
"RIVER BETWA DOWNSTREAM AT SUKMA-DUKMA DAM, DIST-JHANSI (U.P.)",UTTAR PRADESH,21.9,30.0,7.4,8.5,7.7,8.9,267.0,559.0,1.0,1.5,0.32,0.32,2.0,4500.0,2.0,23000.0,2,2,0
"RIVER BETWA AT KANJIA ROAD BRIDGE, KANJIA DIST.ASHOK NAGAR (M.P.)",MADHYA PRADESH,19.0,30.0,8.1,11.0,8.1,8.8,350.0,643.0,1.0,3.6,0.32,0.32,2.0,170000.0,7800.0,1100000.0,,,0
"RIVER BETWA NEAR WATER SUPPLY  INTAKE WELL , VIDISHA( M.P)",MADHYA PRADESH,12.0,28.0,6.5,10.6,7.5,8.3,200.0,740.0,1.0,2.9,2.2,7.31,4.0,94.0,110.0,350.0,2,2,0
"RIVER BETWA NEAR WATER SUPPLY  INTAKE WELL ,
VIDISHA( M.P)","MADHYA
PRADESH",12.0,28.0,6.5,10.6,7.5,8.3,200.0,740.0,1.0,2.9,2.2,7.31,4.0,94.0,110.0,350.0,2,2,0
"RIVER BETWA AT U/S AT MAHUTA GHAT, AGASOD, BINA",MADHYA PRADESH,21.0,29.0,7.1,8.5,7.4,8.3,287.0,492.0,1.0,1.8,0.33,1.37,2.0,2.0,26.0,58.0,2,2,0
"RIVER BETWA AT M/S J.P. THERMAL POWER, BINA",MADHYA PRADESH,21.0,29.0,7.2,7.5,7.4,8.3,294.0,472.0,1.0,1.9,0.38,1.4,2.0,2.0,31.0,58.0,2,2,0
"RIVER BETWA AT NAYAPUR D/S MANDIDEEP INDL. AREA NO.1,DIST.RAISEN",MADHYA PRADESH,21.0,28.0,4.2,7.8,6.4,8.1,342.0,1978.0,2.4,4.7,3.27,7.64,21.0,110.0,210.0,920.0,2,2,0
"RIVER BETWA NEAR ROAD BRIDGE, BHOJPUR",MADHYA PRADESH,17.0,33.0,7.3,8.3,7.2,8.2,304.0,685.0,1.5,2.7,2.26,5.32,14.0,38.0,110.0,350.0,2,2,0
RIVER BETWA NEAR W/S INTAKE WELL POINT RAISEN,MADHYA PRADESH,18.0,33.0,7.2,8.3,7.3,8.3,288.0,686.0,1.3,2.3,1.22,3.72,13.0,43.0,150.0,280.0,2,2,0
"RIVER BETWA AT CHARANTIRGHAT, VIDISHA",MADHYA PRADESH,13.0,28.0,3.9,11.6,7.5,8.2,219.0,912.0,1.1,10.4,4.31,16.81,6.0,120.0,170.0,430.0,2,2,0
RIVER BETWA D/S AFTER MIXING OF RIVER BAIS AT VIDISHA,MADHYA PRADESH,13.0,27.0,5.6,10.6,7.5,8.5,228.0,949.0,1.2,4.5,1.7,15.74,6.0,84.0,170.0,430.0,2,2,0
RIVER BETWA AT U/S NEAR ROAD BRIDGE ORCHHA,MADHYA PRADESH,19.0,32.0,7.2,9.2,7.6,7.9,266.0,428.0,1.0,2.1,0.33,0.36,2.0,2.0,26.0,49.0,2,2,0
"RIVER KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN",RAJASTHAN,21.0,32.0,4.7,6.3,8.1,8.8,309.0,873.0,1.0,2.5,0.82,2.72,63.0,170.0,140.0,350.0,23,33,0
"RIVER KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN",RAJASTHAN,18.0,33.0,4.4,6.1,8.2,8.9,299.0,1046.0,1.0,2.4,1.42,3.43,70.0,170.0,150.0,280.0,21,38,0
"RIVER CHAMLA AT W/S INTAKE POINT BADNAGAR, UJJAIN",MADHYA PRADESH,23.0,29.0,7.0,7.6,7.3,7.9,206.0,639.0,1.8,2.0,0.32,1.0,2.0,4.0,43.0,58.0,2,2,0
"RIVER KARIYARI U/S NEAR M/S UTCL BELA CEMENT PLANT,VILL.SONARA , REWA,",MADHYA PRADESH,18.9,29.7,6.8,7.5,7.6,7.8,319.0,597.0,1.1,1.5,0.69,1.02,2.0,2.0,41.0,46.0,2,2,0
"RIVER KARIYARI,D/S, NEAR M/S J.P.
CEMENT,VILL.NAUBASTA, REWA","MADHYA
PRADESH",18.5,29.8,6.8,7.1,7.7,8.2,323.0,702.0,1.3,1.8,0.68,1.17,2.0,2.0,43.0,58.0,2,2,0
"RIVER NEWAJ AT W/S INTAKE POINT, SHUJALPUR, UJJAIN",MADHYA PRADESH,23.0,28.0,6.4,7.6,7.4,8.0,202.0,562.0,1.8,2.0,0.32,2.83,2.0,2.0,47.0,49.0,2,2,0
"RIVER NEWAJ  U/S NEAR W/S INTAKE  POINT, RAJGARH",MADHYA PRADESH,15.0,26.0,5.9,10.5,7.3,8.4,274.0,413.0,1.0,2.3,1.85,11.8,2.0,94.0,120.0,430.0,2,2,0
"RIVER BEBUS AT RAJGHAT DAM, SAGAR",MADHYA PRADESH,22.0,30.0,6.1,7.8,6.9,8.3,240.0,438.0,1.1,1.9,0.33,0.84,2.0,2.0,32.0,46.0,2,2,0
"RIVER KALIASOT DAM OUTLATE NEAR DAM GATE,BHOPAL",MADHYA PRADESH,19.0,27.0,5.8,8.5,7.4,8.7,186.0,300.0,1.0,2.2,1.49,3.5,2.0,22.0,2.0,540.0,2,2,0
"RIVER KHAN RAMWASA STOP DAM,UJJAIN",MADHYA PRADESH,23.0,28.0,5.7,7.2,7.2,8.2,512.0,1696.0,4.5,12.0,1.22,2.49,14.0,1600.0,920.0,1600.0,11,11,0
"RIVER MANDAKINI , ORIGIN POINT SATI ANSUIYA
,CHITRAKOOT",MADHYA PRADESH,27.4,32.5,3.4,7.4,7.1,8.0,354.0,6783.0,1.0,2.1,0.0,0.0,2.0,2.0,4.0,72.0,2,2,0
"RIVER CHAMBAL PALI NEAR ROAD BRIDGE ,SHEOPUR",MADHYA PRADESH,18.0,29.0,7.0,7.9,7.1,7.7,220.0,690.0,1.2,1.8,0.52,2.42,2.0,3.0,26.0,42.0,,,0
"RIVER CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, RAWATBHATA,CHITTORGARH",RAJASTHAN,16.0,30.0,4.0,6.3,6.9,7.8,443.0,627.0,2.2,3.0,1.22,3.19,84.0,170.0,150.0,300.0,14,21,0
"RIVER CHAMBAL AT KOTA U/S (PHED INTAKE POINT. NEAR KOTA  BARRAGE), RAJASTHAN",RAJASTHAN,18.0,33.0,5.3,6.8,7.9,8.5,339.0,481.0,1.0,1.3,0.62,1.22,26.0,49.0,46.0,120.0,14,26,0
"RIVER CHAMBAL AT RANGPUR KOTA D/S (2 KM. FROM CITY), RAJASTHAN",RAJASTHAN,19.0,34.0,4.1,5.9,7.9,8.9,382.0,900.0,1.3,2.8,0.82,2.72,220.0,350.0,350.0,540.0,47,130,0
"RIVER CHAMBAL AT KESHORAIPATAN U/S, NEAR SHRI RAJESHWAR MAHADEV TEMPLE, BUNDI",RAJASTHAN,15.0,33.0,4.1,6.3,8.2,8.7,382.0,945.0,1.2,2.8,1.07,3.63,170.0,350.0,350.0,540.0,31,79,0
"RIVER CHAMBAL AT KESHORAIPATTAN D/S NEAR AMBEDKAR NAGAR, BUNDI",RAJASTHAN,15.0,34.0,3.3,6.1,8.1,8.9,388.0,1362.0,1.9,3.8,1.14,4.94,240.0,350.0,350.0,920.0,49,79,0
"RIVER CHAMBAL, NEAR CHAMBAL BRIDGE, DHOLPUR
TO MURENA ROAD, NH-3",RAJASTHAN,12.0,31.0,4.7,6.3,7.0,8.5,370.0,775.0,1.0,3.1,0.64,5.63,22.0,140.0,40.0,280.0,6,28,0
"RIVER CHAMBAL AT GWALIOR ROAD BRIDGE, UDI, ETAWAH DIST.",UTTAR PRADESH,18.0,31.0,7.4,9.3,7.1,8.0,343.0,663.0,1.7,6.5,0.32,0.7,2.0,33000.0,2.0,49000.0,2,2,0
RIVER CHAMBAL AT FISH FARM NEAR GANDHISAGAR DAM (MP & RJASTHAN),MADHYA PRADESH,20.0,33.0,7.4,10.7,7.7,8.2,174.0,445.0,1.2,2.6,0.32,0.51,2.0,15.0,68.0,120.0,2,2,0
"RIVER CHAMBAL AT GANDHI SAGAR DAM, RAMPURA, M.P",MADHYA PRADESH,22.0,28.0,7.4,7.5,7.6,7.9,304.0,324.0,1.8,2.0,0.51,0.93,2.0,2.0,47.0,49.0,2,2,0
"RIVER CHAMBAL AT TAL VILLAGE NEAR BRIDGE, UJJAIN",MADHYA PRADESH,22.0,28.0,7.0,7.8,7.3,8.5,277.0,2449.0,1.6,3.4,0.32,4.98,2.0,25.0,43.0,1600.0,2,2,0
RIVER CHAMBAL AT NAGDA U/S (WATER INTAKE POINT) M.P.,MADHYA PRADESH,22.0,27.0,6.9,7.9,7.3,8.1,405.0,907.0,1.8,2.0,0.64,1.07,2.0,4.0,43.0,49.0,2,2,0
"RIVER CHAMBAL AT NAGDA D/S, M.P.",MADHYA PRADESH,22.0,27.0,0.3,7.6,3.4,8.1,653.0,8763.0,6.0,28.0,0.94,11.29,40.0,1600.0,1600.0,1600.0,14,540,0
"RIVER CHAMBAL AT DHOLPUR,",MADHYA PRADESH,15.0,25.0,7.0,8.1,7.1,7.8,315.0,718.0,1.0,2.3,0.3,1.85,2.0,6.0,12.0,28.0,,,0
"RIVER CHAMBAL AT JANAPAWA, FROM ORIGIN POINT, INDORE",MADHYA PRADESH,20.5,21.0,6.9,7.2,7.5,7.9,360.0,439.0,1.0,1.1,1.54,2.01,2.0,2.0,24.0,34.0,,,0
RIVER CHAMBAL AT ITAWA ROAD BRIDGE BHIND,MADHYA PRADESH,18.0,27.0,7.0,8.2,7.2,7.8,380.0,600.0,1.4,1.9,0.3,1.4,2.0,6.0,20.0,26.0,,,0
RIVER CHAMBAL AT 100M D/S OF GANDHI SAGAR DAM. MANDSAUR,MADHYA PRADESH,22.0,30.0,7.2,7.6,7.4,7.9,298.0,384.0,1.8,2.0,0.55,0.98,2.0,4.0,48.0,49.0,2,2,0
"RIVER PARVATI BEFORE MEETING CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",RAJASTHAN,17.0,33.0,4.7,5.8,8.1,8.9,311.0,1092.0,1.0,2.0,1.22,2.52,70.0,150.0,140.0,350.0,21,26,0
"RIVER PARVATI AT NEEMKHEDI, GUNA",MADHYA PRADESH,15.0,31.0,7.0,8.8,7.2,7.9,290.0,511.0,1.4,2.1,0.32,1.4,2.0,6.0,24.0,34.0,,,0
"RIVER PARVATI D/S  AFTER   VINDHYACHAL NALLA  AT
PILUKHEDI,RAJGARH","MADHYA
PRADESH",15.0,26.0,5.8,11.7,7.4,8.1,371.0,715.0,1.0,4.6,5.05,30.72,6.0,110.0,220.0,480.0,2,2,0
"RIVER PARVATI NEAR VILLAGE BATAODAPAR, M.P.",MADHYA PRADESH,15.0,32.0,7.0,8.5,7.2,7.6,270.0,507.0,1.6,1.9,0.5,1.83,2.0,6.0,2.0,34.0,2,2,0
RIVER KHAN AT KABIT KHEDI (NEAR INDORE) M.P.,MADHYA PRADESH,20.0,22.5,0.3,0.3,7.2,8.1,982.0,1485.0,10.0,36.0,2.13,4.78,32.0,5400.0,920.0,12000.0,8,1800,0
"RIVER KHAN AT SAKKAR KHADI, INDORE",MADHYA PRADESH,19.0,22.0,0.3,0.3,7.2,8.2,973.0,1418.0,14.0,38.0,2.14,7.35,2.0,6300.0,1400.0,17000.0,5,2100,0
RIVER KHAN AT SANWER,MADHYA PRADESH,19.5,22.5,4.0,6.4,7.4,8.4,880.0,1330.0,1.0,8.0,1.24,3.17,10.0,700.0,430.0,1600.0,2,340,0
"RIVER MANDAKINI AT CHITRAKUT, M.P.",MADHYA PRADESH,22.7,33.0,2.8,9.1,6.8,7.9,612.0,5952.0,2.0,3.7,0.0,0.0,2.0,15.0,70.0,120.0,2,2,0
"RIVER KSHIPRA AT RAMGHAT AT UJJAIN, M.P.",MADHYA PRADESH,22.0,27.0,6.2,7.8,7.1,7.9,386.0,1064.0,3.4,10.0,0.32,2.8,350.0,1600.0,1600.0,1600.0,6,170,0
"RIVER KSHIPRA AT TRIVENISANGAM (1 KM. D/S OF SANGAM), M.P.",MADHYA PRADESH,22.0,27.0,7.0,7.6,7.4,7.9,333.0,1039.0,2.4,6.0,0.32,1.94,2.0,1600.0,210.0,1600.0,2,6,0
"RIVER KSHIPRA AT SIDDHAWAT (D/S) OF UJJAIN., M.P.",MADHYA PRADESH,22.0,27.0,6.8,7.6,7.3,8.0,493.0,1254.0,8.0,12.0,0.93,3.47,920.0,1600.0,1600.0,1600.0,10,25,0
"RIVER KSHIPRA AT GAUGHAT, UJJAIN",MADHYA PRADESH,22.0,26.0,7.0,7.5,7.1,7.9,370.0,1041.0,2.4,8.0,0.32,2.24,2.0,1600.0,280.0,1600.0,2,6,0
"RIVER KSHIPRA AT U/S OF MAHIDPUR CITY, UJJAIN",MADHYA PRADESH,23.0,29.0,6.8,8.0,7.5,8.2,388.0,1068.0,1.4,3.6,0.32,1.0,2.0,6.0,46.0,1600.0,2,2,0
"RIVER KSHIPRA AT W/S INTAKE POINT OF DEWAS, UJJAIN",MADHYA PRADESH,22.0,26.0,7.1,7.6,7.4,8.0,288.0,585.0,1.8,2.0,0.63,0.98,2.0,4.0,47.0,49.0,2,2,0
RIVER NALKARI TRIBUTARY AT PATRATU,JHARKHAND,26.5,30.0,7.2,7.6,7.2,7.5,,,1.3,2.6,0.0,0.0,,,,,,,0
"RIVER SUSWA AT MATHURAWALA, DEHRADUN",UTTARAKHAND,15.0,24.0,1.4,4.0,6.8,7.8,321.0,601.0,20.0,34.0,0.33,0.53,1400.0,28000.0,1600.0,160000.0,540,16000,0
"RIVER BHELLA U/S OF KASHIPUR,US NAGAR",UTTARAKHAND,13.0,30.0,5.6,7.7,7.2,7.8,181.0,316.0,2.0,3.0,0.35,0.83,130.0,540.0,170.0,920.0,46,210,0
"RIVER BHELLA D/S OF LOHIYA BRIDGE  KASHIPUR,US
NAGAR",UTTARAKHAND,13.0,32.0,1.4,4.4,6.7,7.7,216.0,636.0,12.0,28.0,0.37,1.15,240.0,920.0,540.0,1600.0,94,350,0
"RIVER DHELLA U/S AT KASHIPUR MORADABAD ROAD BRIDGE,US NAGAR",UTTARAKHAND,13.0,34.0,6.0,7.6,6.8,7.9,236.0,596.0,2.6,3.0,0.34,0.82,220.0,920.0,280.0,1600.0,47,130,0
"RIVER DHELLA D/S AT THAKURDWARA ALIGANJ ROAD,US NAGAR",UTTARAKHAND,12.0,33.0,1.2,4.1,7.0,7.7,298.0,1254.0,14.0,38.0,0.39,1.29,350.0,1600.0,540.0,1600.0,70,220,0
RIVER DHELA AT ADAMPUR,UTTARAKHAND,20.6,32.0,4.5,8.3,7.1,7.8,238.0,813.0,1.0,7.1,0.32,0.37,13000.0,130000.0,70000.0,490000.0,,,0
"RIVER KOSI AT KASHIPUR BAJPUR ROAD BRIDGE,KASHIPUR,US NAGAR",UTTARAKHAND,13.0,31.0,6.8,7.8,7.4,7.9,211.0,628.0,2.0,3.8,0.33,0.66,120.0,280.0,170.0,350.0,17,84,0
"RIVER KOSI AT DADIYAL BRIDGE, UTTRAKHAND",UTTARAKHAND,21.0,30.2,6.2,8.8,7.5,7.6,295.0,714.0,1.0,2.8,0.32,0.9,7800.0,330000.0,13000.0,790000.0,,,0
RIVER GOLA AT HALDWANI,UTTARAKHAND,13.0,23.0,7.4,8.8,7.3,8.2,230.0,280.0,1.4,2.4,0.32,0.4,63.0,170.0,84.0,210.0,4,13,0
RIVER KICHHA AT KICHHA U.S. NAGAR,UTTARAKHAND,12.0,32.0,5.0,7.0,7.2,7.9,265.0,672.0,3.0,7.8,0.0,0.88,170.0,540.0,280.0,920.0,48,150,0
RIVER KICCHA AT PULL BHATTA,UTTARAKHAND,20.2,30.9,0.3,6.2,7.6,7.9,380.0,1030.0,7.5,13.0,0.32,1.74,2300.0,170000.0,7900.0,1300000.0,,,0
"RIVER PILKHAR AT BILASPUR, RAMPUR,US NAGAR",UTTARAKHAND,12.0,31.0,2.4,7.2,7.2,7.8,221.0,918.0,2.0,12.0,0.33,0.97,220.0,920.0,350.0,1600.0,79,170,0
"RIVER PILKHAR AT RAMPUR, BHOT(U.P)",UTTAR PRADESH,21.0,31.6,6.5,8.3,7.5,8.0,121.0,745.0,1.0,2.4,0.32,0.98,4500.0,130000.0,7800.0,490000.0,,,0
"RIVER BAHELA AT BADLI VILLAGE LOHIYA BRIDGE , TANDA (U.P.)",UTTAR PRADESH,20.3,31.2,0.3,8.9,6.2,7.8,217.0,715.0,1.4,145.0,0.32,0.37,200.0,1300000.0,780.0,9200000.0,,,0
"RIVER NANDOUR U/S AT SITARGANJ INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,12.0,31.0,7.2,9.2,7.5,7.9,165.0,220.0,1.6,2.2,0.35,0.49,210.0,540.0,350.0,920.0,63,170,0
"RIVER NANDOUR D/S AT SITARGANJ INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,12.0,32.0,6.9,8.6,7.4,7.9,183.0,336.0,2.4,3.0,0.36,0.84,350.0,1600.0,920.0,1700.0,94,920,0
"RIVER KALYANI  U/S OF  PANTNAGAR INDUSRIAL AREA, US NAGAR",UTTARAKHAND,13.0,30.0,5.0,7.2,7.1,7.8,322.0,482.0,2.4,3.0,0.34,0.55,220.0,920.0,350.0,1600.0,79,540,0
"RIVER KALYANI  D/S OF PANTNAGAR INDUSTRIAL AREA, US NAGAR",UTTARAKHAND,12.0,33.0,1.6,4.4,6.8,7.5,396.0,625.0,12.0,30.0,0.35,1.47,540.0,1600.0,920.0,1700.0,170,540,0
"RIVER RAMGANGA AT ROAD BRIDGE  SHERKOT, DIST.BIJNAUR (U.P.)",UTTAR PRADESH,22.0,30.2,6.5,9.1,7.2,7.9,221.0,730.0,1.0,3.4,0.32,0.36,2.0,49000.0,2.0,330000.0,2,2,0
"RIVER RAMGANGA AT
KALAGARHBARRAGE,KALAGARH,DIST,PAUDHIGADHWAL (U.K.)",UTTARAKHAND,21.5,28.8,7.4,9.5,7.1,7.8,176.0,584.0,1.2,9.5,0.32,10.14,2.0,790000.0,4500.0,3500000.0,,,0
"RIVER RAMGANGA AT ROAD BRIDGE  SHERKOT, DIST.BIJNAUR (U.P.)",UTTAR PRADESH,22.0,30.2,6.5,9.1,7.2,7.9,221.0,730.0,1.0,3.4,0.32,0.36,2.0,49000.0,2.0,330000.0,2,2,0
"RIVER RAMGANGA AT KANNAUJ (BEFORE CONF.), U.P",UTTAR PRADESH,14.0,30.0,5.9,11.2,8.0,8.5,256.0,589.0,3.8,5.6,0.0,0.0,4300.0,6300.0,7500.0,13000.0,2,2,0
"RIVER KALINADI NEAR  GUMATIYA VILLAGE ,KANNAUJ (BEFORE CONF.), U.P",UTTAR PRADESH,14.0,30.0,5.4,8.7,7.4,8.2,240.0,496.0,5.0,6.4,0.0,0.0,4600.0,9800.0,8900.0,17000.0,2,2,0
"RIVER KALINADI AT U/S OF GULAOTHI TOWN IN BULANDSAHAR, U.P.",UTTAR PRADESH,19.0,31.0,0.3,0.3,7.6,7.9,403.0,558.0,46.0,62.0,0.0,0.0,2200000.0,4100000.0,3200000.0,5800000.0,,,1
