Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
"RIVER BEAS AT TALWARA H/W, PUNJAB",PUNJAB,13.0,33.0,6.7,10.1,7.4,8.2,178.0,244.0,1.0,1.2,0.7,1.2,18.0,46.0,70.0,150.0,-,-,0
"RIVER BEAS AT U/S PATHANKOT, PUNJAB",PUNJAB,11.0,34.0,7.7,9.1,7.7,8.3,198.0,359.0,1.0,1.2,0.4,1.11,27.0,93.0,110.0,240.0,,,0
"RIVER BEAS AT MIRTHAL BRIDGE, GURDASPUR",PUNJAB,11.0,34.0,7.7,9.1,7.5,8.3,204.0,395.0,1.0,1.3,0.6,0.9,26.0,78.0,94.0,170.0,,,0
"RIVER BEAS D/S PATHANKOT, PUNJAB",PUNJAB,11.0,34.0,7.4,8.9,7.5,8.3,218.0,295.0,1.0,1.2,0.5,1.1,31.0,140.0,120.0,330.0,,,0
"RIVER BEAS AT 1KM.D/S OF EFFL. DISH. POINT AT
MUKERIAN , PUNJAB",PUNJAB,15.0,27.0,7.0,9.1,7.6,8.2,203.0,275.0,1.0,1.3,0.7,1.4,27.0,140.0,110.0,340.0,,,0
"RIVER BEAS U/S GOINDWAL, PUNJAB",PUNJAB,14.0,28.0,8.0,9.2,7.5,8.2,191.0,245.0,1.0,1.2,0.4,1.05,68.0,140.0,220.0,330.0,,,0
"RIVER BEAS AT HARIKE, PUNJAB",PUNJAB,14.0,28.0,8.1,9.1,7.7,8.2,201.0,256.0,1.0,1.2,0.6,1.31,120.0,210.0,280.0,400.0,,,0
RIVER BEAS AT G.T. ROAD UNDER BDG. NEAR KAPURTHALA,PUNJAB,16.0,28.0,6.9,9.4,7.8,8.2,190.0,276.0,1.0,1.4,0.5,0.97,63.0,170.0,220.0,380.0,,,0
RIVER BEAS AT 100M D/S INDUST. DISCH. GOINDWAL,PUNJAB,14.0,28.0,7.9,8.9,7.8,8.1,203.0,264.0,1.0,1.3,0.5,1.1,93.0,170.0,260.0,380.0,,,0
"RIVER BEAS RIVER, NR VILL KIRI AFGHANA, TEHSIL BATALA, GURDASPUR",PUNJAB,16.0,27.0,6.5,9.2,7.7,8.2,192.0,288.0,1.0,1.3,0.6,1.0,33.0,170.0,140.0,350.0,,,0
RIVER BEAS AT  KARMOWALA  VILLAGE,PUNJAB,26.0,27.0,7.9,8.8,7.9,8.1,211.0,240.0,1.0,1.2,0.7,0.97,84.0,130.0,260.0,280.0,,,0
RIVER BEAS AT  CHAMBA KALAN,PUNJAB,26.0,27.0,7.9,9.0,7.9,8.1,208.0,239.0,1.0,1.1,0.7,0.93,70.0,110.0,220.0,370.0,,,0
RIVER BEAS AT KAMBOH DAHIWALA,PUNJAB,26.0,27.0,7.8,8.9,7.8,8.0,209.0,241.0,1.0,1.1,0.8,0.97,94.0,140.0,280.0,340.0,,,0
RIVER SUTLEJ BEFORE CONF.  WITH RIVER SPITI AT KHAB,HIMACHAL PRADESH,7.0,11.5,9.1,9.4,7.5,8.3,141.0,534.0,1.0,1.0,0.32,1.49,2.0,33.0,9.0,280.0,2,2,0
RIVER SUTLEJ AFTER CONF. WITH RIVER SPIT AT KHAB,HIMACHAL PRADESH,7.0,11.5,9.2,9.5,7.8,8.4,127.0,531.0,1.0,1.0,0.32,1.5,2.0,49.0,7.0,1600.0,2,2,0
RIVER SUTLEJ D/S TIDONG HEP,HIMACHAL PRADESH,7.0,11.5,9.0,9.3,7.6,8.4,118.0,505.0,1.0,1.0,0.32,1.19,2.0,350.0,4.0,1600.0,2,2,0
RIVER SUTLEJ BEFORE CONFLUENCES WITH RIVER TIDONG,HIMACHAL PRADESH,7.5,11.5,9.0,9.3,7.6,8.4,118.0,490.0,1.0,1.0,0.32,1.4,7.0,33.0,17.0,350.0,2,2,0
RIVER SUTLEJ AFTER CONFLUENCES WITH RIVER TIDONG,HIMACHAL PRADESH,7.0,11.5,9.0,9.3,7.8,8.4,122.0,481.0,1.0,1.0,0.32,1.23,5.0,140.0,17.0,350.0,2,2,0
RIVER SUTLEJ BEFORE CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,7.5,12.0,8.7,9.3,7.5,8.3,119.0,517.0,1.0,1.0,0.32,1.44,2.0,33.0,11.0,350.0,2,2,0
RIVER SUTLEJ D/S POWER HOUSE KASHANG HEP,HIMACHAL PRADESH,7.0,12.0,8.9,9.4,7.5,8.5,117.0,491.0,1.0,1.0,0.32,1.39,2.0,110.0,7.0,540.0,2,2,0
RIVER SUTLEJ AFTER CONF. OF RIVER BASPA AT KARCHAM DAM,HIMACHAL PRADESH,7.0,12.0,8.8,9.3,7.8,8.4,121.0,460.0,1.0,1.0,0.32,1.39,2.0,27.0,8.0,540.0,2,2,0
RIVER SUTLEJ AT WANGTOO BRIDGE,HIMACHAL PRADESH,7.5,12.0,8.7,9.3,7.7,8.4,108.0,468.0,1.0,1.0,0.32,1.4,2.0,46.0,9.0,1600.0,2,2,0
RIVER SUTLEJ AFTER CONFLUENCES OF RIVER BASPA,HIMACHAL PRADESH,7.0,12.0,8.7,9.3,7.5,8.4,115.0,437.0,1.0,1.0,0.32,1.43,5.0,22.0,17.0,350.0,2,2,0
RIVER SUTLEJ D/S TRT OF RAMPUR HYDEL ELECTRIC PROJECT,HIMACHAL PRADESH,7.5,13.5,8.7,9.2,7.5,8.3,105.0,254.0,1.0,1.0,0.32,1.42,7.0,170.0,17.0,1600.0,2,2,0
RIVER SUTLEJ AT U/S RAMPUR,HIMACHAL PRADESH,7.5,13.0,8.5,9.3,7.7,8.3,107.0,251.0,1.0,1.0,0.32,0.95,2.0,39.0,17.0,350.0,2,2,0
RIVER SUTLEJ AT D/S RAMPUR,HIMACHAL PRADESH,8.0,13.5,8.6,9.2,7.6,8.3,100.0,249.0,1.0,1.0,0.32,0.95,2.0,280.0,5.0,1600.0,2,2,0
RIVER SUTLEJ AT U/S TATAPANI,HIMACHAL PRADESH,7.5,14.0,8.6,9.3,6.5,8.2,117.0,447.0,1.0,1.0,0.32,3.95,4.0,26.0,17.0,1600.0,2,2,0
RIVER SUTLEJ U/S IANDFILL SITE RAMPUR,HIMACHAL PRADESH,7.0,13.0,8.5,9.3,7.5,8.3,97.0,245.0,1.0,1.0,0.32,0.77,7.0,39.0,32.0,920.0,2,2,0
RIVER STLUJ D/S LANDFILL SITE RAMPUR,HIMACHAL PRADESH,7.5,13.0,8.6,9.2,7.5,8.2,104.0,253.0,1.0,1.0,0.32,0.89,2.0,79.0,7.0,1600.0,2,2,0
